ID,Cohort,Age,Acert,Year,Capture,Exclude,Treatment,Mass,Leg,Teeth,Repro,Parturition,PYsex,PYid,SurvLPY,SurvWN,PYLastObs,PYFound,Dead,HRDead,CaptDay,AgeC,CohortStart,CohortDay,Cond,PCond,PMass,mGain,Eff,PEff,DaysObs,xMed,indVeg7,indDens7,indWin7,indVeg21,indDens21,indWin21,mLeg,mMass,mMGain,mCond,nFem,nka,nSA,nPrime,PropPrime,Ratio,PRatio
1087,2016,4,1,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,2019-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1087,2016,5,1,2021,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,2020-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
1087,2016,6,1,2022,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,0,2022-09-30,09-2022,NA,NA,NA,3,2021-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,527.6341463414634,26.993827160493826,1.249074074074074,0.11155473367358151,98,75,51,41,0.5466666666666666,0.5204081632653061,0.2692307692307692
1087,2016,7,1,2023,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,4,2022-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,523.2471910112359,26.03370786516854,0.9941860465116279,-0.11745200079661877,109,86,30,51,0.5930232558139535,0.27522935779816515,0.5204081632653061
1087,2016,8,1,2024,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,4,2023-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,515.5121951219512,25.682926829268293,1.4038461538461537,0.10466102027792984,107,91,0,64,0.7032967032967034,0,0.27522935779816515
1090,NA,NA,0,2018,2018-08-18,0,0,22,516,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,2017-08-01,NA,-1.7174661730819045,NA,NA,NA,0,NA,29,38011,NA,NA,NA,NA,NA,NA,531.8,26.651234567901234,0.3769230769230769,-0.2334322330272324,108,67,24,41,0.6119402985074627,0.2222222222222222,0.17557251908396945
1090,NA,NA,0,2019,2019-08-13,0,0,21.5,514,3,1,NA,NA,NA,0,0,NA,NA,NA,NA,225,NA,2018-08-01,NA,-1.8955212269772859,-1.7174661730819045,22,-0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1093,2016,3,1,2019,2019-09-09,0,0,24.5,515,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,3,2018-08-01,NA,-0.3818656453124711,NA,NA,NA,0,NA,45,37997.5,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1094,2016,3,1,2019,2019-09-02,0,0,21,498,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,3,2018-08-01,NA,-1.388238517584022,NA,NA,NA,0,NA,49,37473,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1094,2016,4,1,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,0,2020-09-30,03-2021,NA,NA,NA,3,2019-08-01,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
